country,date,us_count
US,3/9/20,554
US,3/8/20,433
US,3/7/20,338
US,3/6/20,233
US,3/5/20,159
US,3/4/20,125
US,3/3/20,103
US,3/2/20,89
US,3/1/20,69
US,2/29/20,66
US,2/28/20,60
US,2/27/20,59
US,2/26/20,53
US,2/25/20,53
US,2/24/20,35
US,2/23/20,35
US,2/22/20,35
US,2/21/20,16
US,2/20/20,15
US,2/19/20,15
US,2/18/20,15
US,2/17/20,15
US,2/16/20,15
US,2/15/20,15
US,2/14/20,15
US,2/13/20,14
US,2/12/20,13
US,2/11/20,13
US,2/10/20,12
US,2/9/20,12
US,2/8/20,12
US,2/7/20,12
US,2/6/20,12
US,2/5/20,11
US,2/4/20,11
US,2/3/20,11
US,2/2/20,8
US,2/1/20,7
US,1/31/20,6
US,1/30/20,5
US,1/29/20,5
US,1/28/20,5
US,1/27/20,5
US,1/26/20,2
US,1/25/20,2
US,1/24/20,1
US,1/23/20,1
US,1/22/20,1
US,1/21/20,1
